,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Sibolga,25,ID,1627418786,91,1.7427,98.7792,76.17,2.59
1,Lebu,0,CL,1627418401,74,-37.6167,-73.65,48.63,24.29
2,Nanortalik,57,GL,1627418410,75,60.1432,-45.2371,47.07,3.47
3,Saint-Philippe,48,RE,1627418341,82,-21.3585,55.7679,69.35,13.0
4,Bowen,63,AU,1627418926,83,-20.0167,148.2333,50.22,7.76
5,Ushuaia,90,AR,1627418329,93,-54.8,-68.3,37.06,0.0
6,Castro,100,BR,1627418336,96,-24.7911,-50.0119,51.94,10.11
7,Toora-Khem,62,RU,1627418927,98,52.4675,96.11,56.44,2.13
8,Bambous Virieux,75,MU,1627418363,94,-20.3428,57.7575,68.25,10.36
9,Thompson,75,CA,1627418284,47,55.7435,-97.8558,77.16,10.36
10,Carnarvon,90,AU,1627418343,52,-24.8667,113.6333,60.87,0.0
11,Praia,20,CV,1627418765,73,14.9215,-23.5087,77.54,14.97
12,Souillac,75,MU,1627418346,94,-20.5167,57.5167,68.38,10.36
13,Tasiilaq,36,GL,1627418351,77,65.6145,-37.6368,42.96,7.4
14,Cap Malheureux,58,MU,1627418476,90,-19.9842,57.6142,68.49,5.01
15,Isiolo,93,KE,1627418928,62,0.3546,37.5822,68.02,18.81
16,Puerto Ayora,15,EC,1627418338,70,-0.7393,-90.3518,76.96,11.65
17,Guerrero Negro,0,MX,1627418355,49,27.9769,-114.0611,81.88,13.85
18,Cape Town,20,ZA,1627418108,84,-33.9258,18.4232,56.08,1.99
19,Kokoda,95,PG,1627418929,94,-8.8785,147.7407,74.19,0.76
20,Chokurdakh,100,RU,1627418334,79,70.6333,147.9167,36.88,12.82
21,Fortuna,90,US,1627418336,100,40.5982,-124.1573,83.19,0.0
22,Qaanaaq,100,GL,1627418827,100,77.484,-69.3632,40.86,3.94
23,Rikitea,100,PF,1627418329,77,-23.1203,-134.9692,74.48,15.1
24,Padang,30,ID,1627418930,88,-0.9492,100.3543,77.18,2.62
25,Albany,36,US,1627418205,67,42.6001,-73.9662,87.28,8.41
26,Ust-Kuyga,15,RU,1627418931,71,70.0167,135.6,45.86,14.0
27,Mataura,32,NZ,1627418337,94,-46.1927,168.8643,48.47,1.7
28,Narsaq,62,GL,1627418340,66,60.9167,-46.05,53.82,7.61
29,Cidreira,64,BR,1627418335,53,-30.1811,-50.2056,51.33,18.77
30,East London,0,ZA,1627418355,28,-33.0153,27.9116,73.13,8.97
31,Hermanus,99,ZA,1627418356,77,-34.4187,19.2345,55.8,19.51
32,Iqaluit,90,CA,1627418345,54,63.7506,-68.5145,55.13,11.01
33,Inta,100,RU,1627418932,91,66.0317,60.1659,42.1,11.61
34,Hobart,40,AU,1627418322,73,-42.8794,147.3294,54.91,1.99
35,Taoudenni,30,ML,1627418394,6,22.6783,-3.9836,105.31,10.13
36,Vaini,90,TO,1627418340,94,-21.2,-175.2,68.16,8.05
37,New Norfolk,92,AU,1627418345,53,-42.7826,147.0587,54.57,2.48
38,Busselton,100,AU,1627418342,66,-33.65,115.3333,46.04,12.24
39,Punta Arenas,75,CL,1627418647,87,-53.15,-70.9167,42.91,11.5
40,Kualakapuas,58,ID,1627418847,93,-3.0091,114.3876,73.56,2.53
41,São Filipe,22,CV,1627418405,81,14.8961,-24.4956,74.44,5.21
42,George Town,20,MY,1627418375,82,5.4112,100.3354,82.35,3.44
